Raw_with_holes,Spatial_without_holes
0,0
63.5732,63.5732
63.5269,63.5269
63.609899999999996,63.609899999999996
63.470400000000005,63.470400000000005
63.604000000000006,63.604000000000006
63.605900000000005,63.605900000000005
63.6105,63.6105
63.565099999999994,63.565099999999994
63.5096,63.5096
63.551500000000004,63.551500000000004
63.6306,63.6306
63.6077,63.6077
63.592000000000006,63.592000000000006
63.571,63.571
63.619400000000006,63.619400000000006
63.5034,63.5034
63.667300000000004,63.667300000000004
63.57190000000001,63.57190000000001
63.674699999999994,63.674699999999994
63.475,63.475
63.5889,63.5889
63.5787,63.5787
63.57469999999999,63.57469999999999
63.613299999999995,63.613299999999995
63.5645,63.5645
63.5784,63.5784
63.4435,63.4435
63.5907,63.5907
63.5414,63.5414
63.581500000000005,63.581500000000005
63.6664,63.6664
63.611399999999996,63.611399999999996
63.5802,63.5802
63.6225,63.6225
63.4333,63.4333
63.5852,63.5852
63.6324,63.6324
63.539199999999994,63.539199999999994
63.6975,63.6975
63.5657,63.5657
63.5448,63.5448
63.5278,63.5278
63.6173,63.6173
63.5898,63.5898
63.6306,63.6306
63.6028,63.6028
63.696299999999994,63.696299999999994
63.4534,63.4534
63.740399999999994,63.740399999999994
63.6676,63.6676
63.5991,63.5991
63.5636,63.5636
63.7364,63.7364
63.59439999999999,63.59439999999999
63.661699999999996,63.661699999999996
63.7099,63.7099
63.696299999999994,63.696299999999994
63.475,63.475
63.7392,63.7392
63.682399999999994,63.682399999999994
63.7599,63.7599
63.7161,63.7161
63.621,63.621
63.7435,63.7435
63.5806,63.5806
63.617599999999996,63.617599999999996
63.5278,63.5278
63.675599999999996,63.675599999999996
63.522800000000004,63.522800000000004
63.547200000000004,63.547200000000004
63.5278,63.5278
63.641400000000004,63.641400000000004
63.725,63.725
63.6769,63.6769
63.6398,63.6398
63.5732,63.5732
63.6355,63.6355
63.59010000000001,63.59010000000001
63.6556,63.6556
63.632999999999996,63.632999999999996
63.6201,63.6201
63.5923,63.5923
63.5873,63.5873
63.5043,63.5043
63.7312,63.7312
63.4833,63.4833
63.6398,63.6398
63.6815,63.6815
63.598200000000006,63.598200000000006
63.598200000000006,63.598200000000006
63.54070000000001,63.54070000000001
63.7278,63.7278
63.5769,63.5769
63.76540000000001,63.76540000000001
63.5596,63.5596
63.5309,63.5309
63.6077,63.6077
63.637699999999995,63.637699999999995
63.6259,63.6259
63.7324,63.7324
63.68430000000001,63.68430000000001
63.497499999999995,63.497499999999995
63.635799999999996,63.635799999999996
63.609300000000005,63.609300000000005
63.63799999999999,63.63799999999999
63.6043,63.6043
63.740399999999994,63.740399999999994
63.6188,63.6188
63.5873,63.5873
63.583,63.583
