,NoseX,NoseY,NeckX,NeckY,Right_shoulderX,Right_shoulderY,Right_elbowX,Right_elbowY,Right_wristX,Right_wristY,Left_shoulderX,Left_shoulderY,Left_elbowX,Left_elbowY,Left_wristX,Left_wristY,Right_hipX,Right_hipY,Right_kneeX,Right_kneeY,Right_ankleX,Right_ankleY,Left_hipX,Left_hipY,Left_kneeX,Left_kneeY,Left_ankleX,Left_ankleY,Right_eyeX,Right_eyeY,Left_eyeX,Left_eyeY,Right_earX,Right_earY,Left_earX,Left_earY
3145,644.0,284.0,649,323,621.0,323.0,610,368,610.0,407.0,677,317,689,362,694,407,632,413,632,480,627,548,666,413,672,475,672,542,644.0,278.0,655.0,278.0,632.0,284.0,666.0,284.0
3146,644.0,284.0,649,323,621.0,323.0,610,368,610.0,407.0,677,323,689,362,700,407,632,413,632,480,627,548,666,413,672,475,672,542,638.0,278.0,655.0,278.0,632.0,284.0,666.0,284.0
3147,644.0,284.0,649,323,621.0,323.0,610,368,610.0,407.0,677,323,689,362,694,407,632,413,632,480,627,548,666,413,672,480,672,542,644.0,278.0,655.0,278.0,632.0,284.0,666.0,284.0
3148,644.0,284.0,649,317,621.0,323.0,610,368,604.0,407.0,677,317,689,357,700,402,632,413,632,480,627,548,666,413,672,475,672,542,638.0,278.0,655.0,278.0,632.0,284.0,666.0,284.0
3149,644.0,284.0,649,317,621.0,323.0,610,368,604.0,407.0,677,317,689,357,694,407,632,413,632,480,627,548,666,413,672,475,672,542,638.0,278.0,655.0,278.0,632.0,284.0,661.0,284.0
3150,644.0,284.0,649,317,621.0,323.0,604,368,604.0,402.0,677,323,689,362,694,407,632,413,632,480,627,548,666,413,672,475,672,542,638.0,278.0,655.0,278.0,632.0,284.0,661.0,284.0
3151,644.0,284.0,649,317,621.0,323.0,604,368,604.0,407.0,677,317,689,362,694,407,632,413,632,480,627,548,666,413,672,480,672,542,638.0,278.0,655.0,278.0,632.0,284.0,661.0,284.0
3152,644.0,284.0,649,317,621.0,323.0,604,368,604.0,402.0,677,317,689,357,700,407,632,413,632,480,627,548,666,413,672,480,672,542,638.0,278.0,655.0,278.0,632.0,284.0,661.0,284.0
3153,644.0,284.0,649,317,621.0,323.0,604,368,604.0,407.0,677,317,689,357,700,402,632,413,632,480,627,548,666,413,672,475,672,542,638.0,278.0,655.0,278.0,632.0,284.0,661.0,284.0
3154,644.0,284.0,649,317,621.0,323.0,610,368,604.0,407.0,677,317,689,357,700,407,632,413,632,480,627,548,666,413,672,475,672,542,638.0,278.0,655.0,278.0,632.0,284.0,661.0,284.0
3155,644.0,284.0,649,317,621.0,323.0,604,368,604.0,407.0,677,317,689,357,700,407,632,413,632,480,627,548,666,413,672,475,672,542,638.0,278.0,655.0,278.0,632.0,284.0,661.0,284.0
3156,644.0,284.0,649,317,621.0,323.0,610,368,610.0,407.0,677,317,689,357,700,407,632,413,632,480,627,548,666,413,672,475,672,542,638.0,278.0,655.0,278.0,632.0,284.0,666.0,284.0
3157,644.0,284.0,649,317,621.0,323.0,610,368,610.0,407.0,677,317,689,357,700,407,632,413,632,480,627,548,666,413,672,475,672,542,638.0,278.0,655.0,278.0,632.0,284.0,666.0,284.0
3158,644.0,284.0,649,317,621.0,323.0,610,368,610.0,407.0,677,317,689,357,700,407,632,413,632,480,627,548,666,413,672,475,672,542,638.0,278.0,655.0,278.0,632.0,284.0,666.0,284.0
3159,644.0,284.0,649,317,621.0,323.0,610,368,610.0,407.0,677,317,689,357,700,407,632,413,632,480,627,548,666,413,672,475,672,542,644.0,278.0,655.0,278.0,632.0,284.0,666.0,284.0
3160,644.0,284.0,649,323,621.0,323.0,610,368,610.0,407.0,677,317,689,362,700,407,632,413,632,480,627,548,666,413,672,475,672,542,644.0,278.0,655.0,278.0,632.0,284.0,666.0,284.0
3161,644.0,284.0,649,323,621.0,323.0,610,368,610.0,407.0,677,317,689,362,694,407,632,413,632,480,627,548,666,413,672,475,672,542,644.0,278.0,655.0,278.0,632.0,284.0,666.0,278.0
3162,644.0,284.0,649,323,621.0,323.0,610,368,610.0,407.0,677,317,689,362,700,407,632,413,632,480,627,548,666,413,672,475,672,542,644.0,278.0,655.0,278.0,632.0,284.0,666.0,284.0
3163,644.0,284.0,649,323,621.0,323.0,610,368,610.0,407.0,677,317,689,357,694,407,632,413,632,480,627,548,666,413,672,475,672,542,644.0,278.0,655.0,278.0,632.0,284.0,666.0,284.0
3164,644.0,284.0,649,323,621.0,323.0,610,368,610.0,407.0,677,317,689,362,694,407,632,413,632,480,627,548,666,413,672,475,672,542,644.0,278.0,655.0,278.0,632.0,284.0,666.0,284.0
3165,644.0,284.0,649,323,621.0,323.0,610,368,610.0,407.0,677,317,689,357,694,407,632,413,632,480,627,548,666,413,672,475,672,542,644.0,278.0,655.0,278.0,638.0,284.0,666.0,284.0
3166,644.0,284.0,649,323,621.0,323.0,610,368,610.0,407.0,683,323,689,362,694,407,632,413,632,480,627,548,666,419,672,475,672,542,644.0,278.0,655.0,278.0,632.0,284.0,666.0,284.0
3167,644.0,284.0,649,323,621.0,323.0,610,368,610.0,407.0,677,323,689,362,694,407,632,413,632,480,627,548,666,413,672,475,672,542,644.0,278.0,655.0,278.0,632.0,284.0,666.0,284.0
3168,644.0,284.0,649,323,621.0,323.0,610,368,610.0,407.0,677,317,689,362,694,407,632,413,632,480,627,548,666,413,672,475,672,542,644.0,278.0,655.0,278.0,632.0,284.0,666.0,284.0
3169,644.0,284.0,649,323,621.0,323.0,610,368,610.0,407.0,677,323,689,362,694,407,632,413,632,480,627,548,672,413,672,480,672,542,644.0,278.0,655.0,278.0,632.0,284.0,666.0,284.0
3170,644.0,284.0,649,323,621.0,323.0,610,368,610.0,407.0,677,323,689,362,700,407,632,413,632,480,627,548,666,413,672,480,672,542,644.0,278.0,655.0,278.0,632.0,284.0,666.0,284.0
3171,644.0,284.0,649,323,621.0,323.0,610,368,610.0,407.0,677,323,689,362,700,407,632,413,632,480,627,548,666,413,672,480,672,542,644.0,278.0,655.0,278.0,632.0,284.0,666.0,284.0
3172,644.0,284.0,649,323,621.0,323.0,610,368,610.0,407.0,677,323,689,362,694,413,632,413,632,480,627,548,666,419,672,480,672,542,644.0,278.0,655.0,278.0,632.0,284.0,666.0,284.0
3173,644.0,284.0,649,323,621.0,323.0,610,368,610.0,407.0,677,317,689,362,700,407,632,413,632,480,627,548,666,413,672,480,672,542,644.0,278.0,655.0,278.0,632.0,284.0,666.0,284.0
3174,644.0,284.0,649,323,621.0,323.0,610,368,610.0,407.0,683,317,689,357,700,407,632,413,632,480,627,548,666,413,672,475,672,542,644.0,278.0,655.0,278.0,632.0,284.0,666.0,284.0
3175,644.0,284.0,649,323,621.0,323.0,610,368,610.0,407.0,677,323,689,362,700,407,632,413,632,480,627,548,672,413,672,475,672,542,644.0,278.0,655.0,278.0,632.0,284.0,666.0,284.0
3176,644.0,284.0,649,323,621.0,323.0,610,368,610.0,407.0,683,323,689,362,694,407,632,413,632,480,627,548,666,413,672,475,672,542,644.0,278.0,655.0,278.0,632.0,284.0,666.0,284.0
3177,644.0,289.0,649,323,621.0,323.0,610,368,610.0,407.0,683,323,689,362,700,407,632,413,632,480,627,548,666,413,672,475,672,542,644.0,284.0,655.0,284.0,632.0,284.0,666.0,284.0
3178,644.0,284.0,649,323,621.0,323.0,610,368,610.0,407.0,677,317,689,357,694,407,632,413,632,480,627,548,666,413,672,475,672,542,638.0,278.0,655.0,278.0,632.0,284.0,666.0,284.0
3179,644.0,284.0,649,323,621.0,323.0,610,368,610.0,407.0,683,323,689,362,700,407,632,413,632,480,627,548,666,413,672,475,672,542,638.0,278.0,655.0,278.0,632.0,284.0,666.0,284.0
3180,644.0,284.0,649,323,621.0,323.0,610,368,610.0,407.0,683,323,689,362,694,407,632,413,632,480,627,548,666,413,672,480,672,542,644.0,278.0,655.0,278.0,632.0,284.0,666.0,284.0
3181,644.0,289.0,649,323,621.0,323.0,610,368,610.0,407.0,683,323,689,362,694,407,632,413,632,480,627,548,666,413,672,480,672,542,644.0,278.0,655.0,284.0,632.0,284.0,666.0,284.0
3182,644.0,289.0,649,323,621.0,323.0,610,368,610.0,407.0,677,323,689,362,700,407,632,413,632,480,627,548,672,413,672,475,672,542,644.0,284.0,655.0,284.0,632.0,284.0,666.0,284.0
3183,644.0,284.0,649,323,621.0,323.0,610,368,610.0,407.0,677,323,689,362,694,407,632,413,632,480,627,548,666,413,672,475,672,542,644.0,278.0,655.0,278.0,632.0,284.0,666.0,284.0
3184,644.0,289.0,649,323,621.0,323.0,610,368,610.0,407.0,683,323,689,362,694,407,632,413,632,480,627,548,666,413,672,475,672,542,638.0,278.0,655.0,278.0,632.0,284.0,666.0,284.0
3185,644.0,284.0,649,323,621.0,323.0,610,368,610.0,407.0,677,323,689,362,694,407,632,413,632,480,627,548,666,413,672,480,672,542,644.0,278.0,655.0,278.0,632.0,284.0,666.0,284.0
3186,644.0,284.0,649,323,621.0,323.0,610,368,610.0,407.0,683,323,689,362,694,407,632,413,632,480,627,548,666,419,672,475,672,542,644.0,278.0,655.0,278.0,632.0,284.0,666.0,284.0
3187,649.0,284.0,649,323,621.0,323.0,610,368,610.0,407.0,677,323,689,362,694,407,632,413,632,480,627,548,666,413,672,475,672,542,644.0,278.0,655.0,278.0,638.0,284.0,666.0,284.0
3188,644.0,289.0,649,323,621.0,323.0,610,368,610.0,407.0,683,323,689,362,694,407,632,413,632,480,627,548,666,419,672,480,672,542,644.0,278.0,655.0,278.0,632.0,284.0,666.0,284.0
3189,644.0,284.0,649,323,621.0,323.0,610,368,610.0,407.0,677,323,689,362,694,407,632,413,632,480,627,548,666,413,672,475,672,542,644.0,278.0,655.0,278.0,638.0,284.0,666.0,284.0
3190,644.0,284.0,649,323,621.0,323.0,610,368,610.0,407.0,677,323,689,362,694,407,632,413,632,480,627,548,666,413,672,475,672,542,644.0,278.0,655.0,278.0,632.0,284.0,666.0,284.0
3191,644.0,284.0,649,323,621.0,323.0,610,368,610.0,407.0,683,323,689,362,700,407,638,413,632,480,627,548,672,413,672,475,672,542,644.0,278.0,655.0,278.0,638.0,284.0,666.0,284.0
3192,649.0,284.0,655,323,621.0,323.0,610,368,610.0,407.0,683,323,689,362,694,407,632,413,632,480,627,548,666,419,672,480,672,542,644.0,278.0,655.0,278.0,638.0,284.0,666.0,284.0
3193,644.0,284.0,649,323,621.0,323.0,610,368,610.0,407.0,683,323,689,362,700,407,632,413,632,480,627,548,666,419,672,475,672,542,644.0,278.0,655.0,284.0,632.0,284.0,666.0,284.0
3194,649.0,289.0,649,323,621.0,323.0,610,368,610.0,407.0,683,323,689,362,700,407,632,413,632,480,627,548,666,419,672,475,672,542,644.0,284.0,655.0,284.0,638.0,284.0,666.0,284.0
3195,649.0,289.0,655,323,621.0,323.0,610,368,610.0,407.0,683,323,694,362,700,407,632,413,632,480,627,548,672,413,672,480,672,542,644.0,278.0,655.0,284.0,638.0,284.0,666.0,284.0
3196,649.0,289.0,655,323,627.0,323.0,610,368,610.0,407.0,683,323,694,362,700,407,632,413,632,480,627,548,666,419,672,475,672,542,644.0,284.0,661.0,284.0,638.0,284.0,666.0,284.0
3197,649.0,289.0,655,323,627.0,323.0,610,368,610.0,407.0,683,323,689,357,700,407,632,413,632,480,627,548,672,413,672,475,672,542,644.0,284.0,661.0,284.0,638.0,284.0,666.0,284.0
3198,649.0,289.0,655,323,621.0,323.0,610,368,610.0,407.0,683,323,689,362,700,407,632,413,632,480,627,548,666,413,672,475,672,542,644.0,284.0,661.0,284.0,638.0,284.0,666.0,284.0
3199,649.0,289.0,655,323,621.0,323.0,610,368,610.0,407.0,683,323,689,362,694,413,632,413,632,480,627,548,666,413,672,475,672,542,644.0,284.0,655.0,284.0,638.0,284.0,666.0,284.0
3200,649.0,289.0,655,323,627.0,323.0,610,368,610.0,407.0,683,323,694,362,694,407,632,413,632,480,627,548,666,413,672,475,672,542,644.0,284.0,661.0,284.0,638.0,284.0,666.0,284.0
3201,649.0,289.0,649,323,621.0,323.0,610,368,610.0,407.0,683,323,689,362,700,407,632,413,632,480,627,548,666,413,672,475,672,542,644.0,284.0,655.0,284.0,638.0,284.0,666.0,284.0
3202,644.0,284.0,649,323,621.0,323.0,610,368,610.0,407.0,683,323,689,362,694,407,632,413,632,480,627,548,666,413,672,475,672,542,644.0,278.0,655.0,278.0,632.0,284.0,666.0,284.0
3203,644.0,284.0,649,323,621.0,323.0,610,368,610.0,407.0,683,323,689,362,694,407,632,413,632,480,627,548,666,413,672,480,672,542,644.0,278.0,655.0,278.0,632.0,284.0,666.0,284.0
3204,644.0,284.0,649,323,621.0,323.0,610,368,610.0,407.0,683,323,689,362,694,407,632,413,632,480,627,548,666,413,672,480,672,542,644.0,278.0,655.0,278.0,632.0,284.0,666.0,284.0
3205,644.0,284.0,649,323,621.0,323.0,610,368,604.0,407.0,677,323,689,362,694,407,632,413,632,480,627,548,666,413,672,475,672,542,644.0,278.0,655.0,278.0,632.0,284.0,666.0,284.0
3206,644.0,284.0,649,323,621.0,323.0,604,368,610.0,407.0,677,323,689,362,694,407,632,413,632,480,627,548,666,413,672,475,672,542,638.0,278.0,655.0,278.0,632.0,284.0,666.0,284.0
3207,644.0,284.0,649,323,621.0,323.0,610,368,610.0,407.0,677,323,689,362,694,407,632,419,632,480,627,548,666,419,672,480,672,542,638.0,278.0,655.0,278.0,632.0,284.0,666.0,284.0
3208,644.0,284.0,649,323,621.0,323.0,604,368,610.0,407.0,677,323,689,362,694,407,632,413,632,480,627,548,666,419,672,480,672,542,644.0,278.0,655.0,278.0,632.0,284.0,666.0,284.0
3209,644.0,284.0,649,323,621.0,323.0,604,368,604.0,407.0,677,323,689,362,694,407,632,413,632,480,627,548,666,413,672,480,672,542,638.0,278.0,655.0,278.0,632.0,284.0,666.0,284.0
3210,644.0,284.0,649,323,621.0,323.0,604,368,610.0,407.0,677,323,689,362,694,407,632,413,632,480,627,548,666,413,672,480,672,542,638.0,278.0,655.0,278.0,632.0,284.0,666.0,284.0
3211,644.0,284.0,649,323,621.0,323.0,604,368,610.0,407.0,677,323,689,362,694,407,632,413,632,480,627,548,666,413,672,475,672,542,638.0,278.0,655.0,278.0,632.0,284.0,666.0,284.0
3212,644.0,284.0,649,323,621.0,323.0,604,368,610.0,407.0,677,323,689,362,694,407,632,413,632,480,627,548,666,413,672,480,672,542,638.0,278.0,655.0,278.0,632.0,284.0,666.0,284.0
3213,644.0,284.0,649,323,621.0,323.0,604,368,610.0,407.0,677,323,689,362,694,407,632,413,632,480,627,548,666,413,672,480,672,542,638.0,278.0,655.0,278.0,632.0,284.0,666.0,284.0
3214,644.0,284.0,649,323,621.0,323.0,604,368,610.0,407.0,677,323,689,362,694,407,632,413,632,480,627,548,666,413,672,480,672,542,644.0,278.0,655.0,278.0,632.0,284.0,666.0,284.0
3215,644.0,284.0,649,323,621.0,323.0,604,368,610.0,407.0,677,323,689,362,694,407,632,413,632,480,627,548,666,413,672,480,672,542,638.0,278.0,655.0,278.0,632.0,284.0,666.0,284.0
3216,644.0,284.0,649,323,621.0,323.0,604,368,610.0,407.0,677,323,689,362,694,413,632,413,632,480,627,548,666,413,672,480,672,542,638.0,278.0,655.0,278.0,632.0,284.0,666.0,284.0
3217,644.0,284.0,649,323,621.0,323.0,604,368,610.0,407.0,677,323,689,362,694,407,632,413,632,480,627,548,666,413,672,480,672,542,644.0,278.0,655.0,278.0,632.0,284.0,666.0,284.0
3218,644.0,289.0,649,323,621.0,323.0,604,368,610.0,407.0,677,323,689,362,694,407,632,413,632,480,627,548,666,413,672,480,672,542,638.0,278.0,655.0,278.0,632.0,284.0,666.0,284.0
3219,644.0,284.0,649,323,621.0,323.0,604,368,610.0,407.0,677,323,689,362,694,407,632,413,632,480,627,548,666,413,672,475,672,542,638.0,278.0,655.0,278.0,632.0,284.0,666.0,284.0
3220,644.0,284.0,649,323,621.0,323.0,604,368,610.0,407.0,677,323,689,362,694,407,632,413,632,480,627,548,666,413,672,480,672,542,644.0,278.0,655.0,278.0,632.0,284.0,666.0,284.0
3221,644.0,284.0,649,323,621.0,323.0,604,368,604.0,407.0,677,323,689,362,694,407,632,413,632,480,627,548,666,413,672,480,672,542,644.0,278.0,655.0,278.0,632.0,284.0,666.0,284.0
3222,644.0,284.0,649,323,621.0,323.0,604,368,610.0,407.0,677,323,689,362,694,407,632,413,632,480,627,548,666,413,672,480,672,542,644.0,278.0,655.0,278.0,632.0,284.0,666.0,284.0
3223,644.0,284.0,649,323,621.0,323.0,610,368,610.0,407.0,677,323,689,362,694,413,632,413,632,480,627,548,666,413,672,480,672,542,638.0,278.0,655.0,278.0,632.0,284.0,666.0,284.0
3224,644.0,284.0,649,323,621.0,323.0,604,368,610.0,407.0,677,323,689,362,694,407,632,413,632,480,627,548,666,413,672,480,672,542,638.0,278.0,655.0,278.0,632.0,284.0,666.0,284.0
3225,644.0,284.0,649,323,621.0,323.0,604,368,610.0,407.0,677,323,689,362,694,407,632,413,632,480,627,548,666,413,672,475,672,542,638.0,278.0,655.0,278.0,632.0,284.0,666.0,284.0
3226,644.0,284.0,649,323,621.0,323.0,604,368,610.0,407.0,677,323,689,362,694,407,632,413,632,480,627,548,666,419,672,480,672,542,644.0,278.0,655.0,278.0,632.0,284.0,666.0,284.0
3227,644.0,284.0,649,323,621.0,323.0,610,368,610.0,407.0,677,323,689,362,694,407,632,413,632,480,627,548,666,413,672,475,672,542,638.0,278.0,655.0,278.0,632.0,284.0,666.0,284.0
3228,644.0,284.0,649,323,621.0,323.0,604,368,610.0,407.0,677,323,689,362,694,407,632,413,632,480,627,548,666,413,672,475,672,542,644.0,278.0,655.0,278.0,632.0,284.0,666.0,284.0
3229,644.0,284.0,649,323,621.0,323.0,610,368,610.0,407.0,677,323,689,362,694,407,632,413,632,480,627,548,666,413,672,480,672,542,638.0,278.0,655.0,278.0,632.0,284.0,666.0,284.0
3230,644.0,284.0,649,323,621.0,323.0,610,368,610.0,407.0,683,323,689,362,694,407,632,413,632,480,627,548,666,413,672,475,672,542,638.0,278.0,655.0,278.0,632.0,284.0,666.0,284.0
3231,644.0,284.0,649,323,621.0,323.0,610,368,610.0,407.0,677,323,689,362,694,407,632,413,632,480,627,548,666,413,672,475,672,542,644.0,278.0,655.0,278.0,632.0,284.0,666.0,284.0
3232,644.0,284.0,649,323,621.0,323.0,610,368,610.0,407.0,677,323,689,362,694,407,632,413,632,480,627,548,666,419,672,480,672,542,644.0,278.0,655.0,278.0,632.0,284.0,666.0,284.0
3233,644.0,284.0,649,323,621.0,323.0,610,368,610.0,407.0,677,323,689,362,694,407,632,413,632,480,627,548,666,413,672,480,672,542,638.0,278.0,655.0,278.0,632.0,284.0,666.0,284.0
3234,644.0,284.0,649,323,621.0,323.0,610,368,610.0,407.0,677,317,689,362,694,407,632,413,632,480,627,548,666,413,672,480,672,542,638.0,278.0,655.0,278.0,632.0,284.0,666.0,284.0
3235,644.0,284.0,649,323,621.0,323.0,604,368,610.0,407.0,677,323,689,362,694,407,632,413,632,480,627,548,666,413,672,475,672,542,644.0,278.0,655.0,278.0,632.0,284.0,666.0,284.0
3236,644.0,284.0,649,323,621.0,323.0,604,368,610.0,407.0,677,317,689,362,700,407,632,413,632,480,627,548,666,413,672,475,672,542,644.0,278.0,655.0,278.0,632.0,284.0,666.0,284.0
3237,644.0,284.0,649,323,621.0,323.0,604,368,610.0,407.0,677,323,689,362,694,407,632,413,632,480,627,548,666,413,672,475,672,542,638.0,278.0,655.0,278.0,632.0,284.0,666.0,284.0
3238,644.0,284.0,649,323,621.0,323.0,610,368,610.0,407.0,677,317,689,362,694,407,632,413,632,480,627,548,666,413,672,475,672,542,644.0,278.0,655.0,278.0,632.0,284.0,666.0,284.0
3239,644.0,284.0,649,323,621.0,323.0,610,368,610.0,407.0,677,323,689,362,694,407,632,413,632,480,627,548,666,413,672,480,672,542,644.0,278.0,655.0,278.0,632.0,284.0,666.0,284.0
3240,644.0,289.0,649,323,621.0,323.0,604,368,610.0,407.0,677,323,689,362,694,407,632,413,632,480,627,548,666,413,672,475,672,542,644.0,284.0,655.0,284.0,632.0,284.0,666.0,284.0
3241,644.0,289.0,649,323,621.0,323.0,604,368,610.0,407.0,677,323,689,362,694,407,632,413,632,480,627,548,666,413,672,480,672,542,644.0,278.0,655.0,284.0,632.0,284.0,666.0,284.0
3242,644.0,284.0,649,323,621.0,323.0,610,368,610.0,407.0,677,323,689,362,694,407,632,413,632,480,627,548,666,413,672,475,672,542,644.0,278.0,655.0,278.0,632.0,284.0,666.0,284.0
3243,644.0,284.0,649,323,621.0,323.0,604,368,610.0,407.0,677,323,689,362,694,407,632,413,632,480,627,548,666,413,672,475,672,542,644.0,278.0,655.0,278.0,632.0,284.0,666.0,284.0
3244,644.0,284.0,649,323,621.0,323.0,610,368,610.0,407.0,677,323,689,362,694,407,632,413,632,480,627,548,666,413,672,475,672,542,644.0,278.0,655.0,278.0,632.0,284.0,666.0,284.0
3245,644.0,284.0,649,323,621.0,323.0,604,368,610.0,407.0,677,323,689,362,694,407,632,413,632,480,627,548,666,413,672,475,672,542,644.0,278.0,655.0,278.0,632.0,284.0,666.0,284.0
