,Nose,Neck,Right_shoulder,Right_elbow,Right_wrist,Left_shoulder,Left_elbow,Left_wrist,Right_hip,Right_knee,Right_ankle,Left_hip,Left_knee,Left_ankle,Right_eye,Left_eye,Right_ear,Left_ear
0,,5.277666917342382,,5.1322502437687945,,5.731889161139002,5.579111376104669,3.8898335180905024,0.590333361372662,4.86441689771406,5.207805802913046,5.019833571762622,5.284722473233058,5.231000248459168,,,,
1,,5.120166909861533,5.069444685230135,5.029639127783917,,5.269278028055042,5.178000245941803,5.199833580312164,5.042055795040343,5.204944691666039,5.202083580419033,5.0385835726532,5.238500248815399,5.306889140952586,,,,5.035805794743484
2,5.04413912847263,5.127166910194015,4.99030579258235,5.163778023044061,5.182333579480958,5.1777502459299285,5.208194691820406,5.14175024422002,5.0385835726532,5.2075558029011715,5.174889134682922,5.185166912948867,5.122111354398334,5.222000248031691,5.160333578436014,4.988333570266453,,5.078444685657612
3,5.055250240111491,5.147472466714033,5.21011135857811,5.201278024825215,5.191166913233852,5.1972224690770314,5.232805804100482,5.185944690763588,5.2810835841713315,5.281555806415983,5.194889135632871,5.088583575028072,5.216916914456911,5.300750251772115,5.117222465277235,4.979833569862724,,5.0764169077835195
4,5.043444683995201,5.16388913416045,5.000389126394617,5.188805802010594,5.187528024172125,5.143194688733072,5.151389133566732,5.162944689671146,5.029416905551139,5.270194694765248,5.177028023673402,5.213861358756225,5.236250248708529,5.222916914741896,5.142639133151129,5.0344169057886266,,5.126722465728461
5,4.9927502371429,5.11211135392336,5.190361357640035,5.244500249100383,5.1866669130201135,5.1940280244808585,5.222166914706273,5.250805804955436,5.095889130930623,5.216389136654066,5.164416911963295,5.073389129861931,5.111333576108639,5.415972479467099,5.045805795218459,4.983083570017091,5.193972468922665,5.089028019493626
6,5.011500238033477,5.178472468186454,5.216889136677815,5.151750244694995,5.168250245478703,5.094444686417571,5.25633358299577,5.238500248815399,5.04627801746311,5.2276391371884126,5.247639138138362,4.905611344115136,5.079611352379692,5.179278023780271,5.0093613490429965,4.934666901050756,5.185139135169771,5.040666906085486
7,5.001083570872045,5.130055799220119,5.0692780185555515,5.250111360478008,5.194000246701762,5.374666921949634,5.16525024533621,5.235500248672906,5.248278027057595,5.2193058034592665,5.180833579409712,5.080250241298927,5.1134446873200226,5.221250247996068,5.091305797379593,5.011500238033477,5.228111359433064,5.0961113531634
8,4.935333567749088,5.029555794446625,4.9996946819171875,5.138000244041905,5.204166913851319,5.211305803079287,5.165278023115307,5.22883358168959,5.110805798305793,5.2243613592549485,5.14827802230785,5.085889130455649,5.083055796987739,5.280666917484874,4.960778013402078,4.964722458033874,5.175555801381253,5.058139129137595
9,5.0385835726532,5.213972469872614,5.12722246575221,5.190972468780172,5.20650024729548,5.230472470656322,5.1466669111202155,5.166000245371833,5.099361353317767,5.236250248708529,5.196028024575853,5.2460002491716295,5.049000239814632,5.247500249242876,4.995416903936226,4.9859446812640975,5.155805800443178,5.097333575443675
10,4.912694677784909,5.137278021785378,5.280666917484874,5.236083582033946,5.16466691197517,5.079111352355944,5.138805799635722,5.14769468894681,5.124361354505203,5.303666918577315,5.202028024860838,5.080944685776355,5.085222463757317,5.18591691298449,4.93638912335478,4.926111345088834,5.1019169089947045,5.042805795075966
11,4.9804446810028615,5.112166909481553,5.109972464932879,5.099000242189504,5.065666907272922,5.141833577557311,5.117055798602652,5.185805801868102,5.1822780239227635,5.254444694017163,5.1680835788041195,5.141778021999117,5.1917224688157955,5.270778028126288,5.1047502424626146,5.0323335723563405,5.191861357711281,5.105166909149071
12,5.055944684588919,5.083833574802459,5.140694688614328,5.271778028173785,5.162972467450244,5.168222467699605,5.213333580953379,5.1651113564407245,5.334000253351405,5.225833581547097,5.1740280235309095,4.867083564507387,5.033028016833769,5.196055802354951,5.153861355906378,4.987028014648886,5.237139137639638,5.094444686417571
13,5.0344169057886266,5.002472459826903,4.872444675873137,5.184416912913244,5.182111357248181,5.18152802388714,5.274583583862598,5.216000247746706,5.111444687225028,5.2985558072234396,5.194722468958288,5.093916908614725,5.307778029883694,5.225750248209806,4.99908357077705,4.965222458057623,5.204444691642291,5.093055797462713
14,5.0344169057886266,5.097889131025618,5.133778021619137,5.193861357806276,5.182916912841998,5.173000245704316,5.2656946945515095,5.237833582117067,5.101722464541025,5.207444691784783,5.159416911725808,5.120666909885282,5.09766690879284,5.191889135490379,5.122028021061042,5.022611349672338,5.208083580704018,5.11083357608489
15,4.942111345848793,5.109222464897256,5.114000242901966,5.1933613577825275,5.153250244766241,5.145222466607164,5.134389132759275,5.214611358791848,5.085139130420026,5.213944692093516,5.143944688768695,5.235500248672906,5.1895002464880235,5.198333580240917,5.033055794612866,4.9400002346374094,4.259555757873588,5.072305796477141
16,5.055250240111491,5.067750240705209,4.930055789720629,5.192333579955933,5.177889134825414,5.104611353567129,5.286666917769859,5.248389138173985,5.118750243127579,5.15647246714151,5.127889132450542,5.160166911761431,5.148194688970559,5.269250250275945,5.05886135139412,5.046222461904916,5.127472465764084,5.128139132462416
17,5.0344169057886266,5.071222463092353,5.319305808209012,5.219944692378501,5.156250244908733,5.2992224739217715,5.262111361047977,5.236305804266723,5.282000250881538,5.217194692247883,5.179333579338466,5.037944683733965,5.125722465680964,5.180000246036798,5.093250241916394,5.029555794446625,5.174778023566533,5.116666909695292
18,5.051083573246918,5.071222463092353,5.227361359397441,5.211611358649356,5.184333579575953,5.2482224714994015,5.154250244813738,5.1866669130201135,4.922000233782455,5.201500247057993,5.210055803019915,5.04969468429206,5.202833580454656,5.180889134967907,5.030333572261346,4.988861348069299,5.184444690692342,5.118333576441121
19,5.019139127285194,5.097583575455549,4.891472454554686,5.18591691298449,5.232500248530414,5.149083577901668,5.195472468993911,5.213000247604214,5.111472465004125,5.2673335835182415,5.172972467925218,5.030944683401483,5.162333578531009,5.198500246915501,5.120416909873407,5.02677801653691,5.216194692200386,5.136889132878019
20,5.0580835735794,5.10850024264073,5.0059446822140465,5.193194691107944,5.284555806558475,5.395333589597915,5.144750244362513,5.191805802153087,5.264916916736789,5.139889133020511,5.147055800027576,5.103611353519631,5.174194690205493,5.248250249278499,5.0561391290426,4.958916902202569,5.220611359076833,5.108444687082535
21,5.039972461608057,5.0791669079141375,5.29552802930185,5.175528023602156,5.182889135062902,5.077166907819143,5.203583580490279,5.135916910609618,5.124694687854369,5.269250250275945,5.125139132319924,5.249000249314122,5.266444694587133,5.204000247176737,5.038778017106879,4.95150023518363,5.19255580218871,5.091778019624244
22,5.04969468429206,5.1367780217616295,5.138055799600099,5.266722472378104,5.25272247171314,5.183111357295679,5.086694686049466,5.1630280230084376,5.07680579669088,5.187416913055737,5.109305798234547,5.242333582330805,5.177111357010694,5.216750247782329,4.997528015147609,4.959528013342706,5.147055800027576,5.138111355158293
23,5.021916905194908,5.105500242498238,4.7667780041875725,5.208861358518738,5.2296391372834075,5.183889135110399,5.239805804432964,5.207055802877423,4.994889126133381,5.172555801238761,5.163055800787535,5.016750238282839,5.130055799220119,5.198333580240917,5.008278015658207,4.969055791573029,5.180750246072421,5.146111355538273
24,5.030250238924054,5.131833577082337,4.90069467721494,5.174861356903825,5.1570835782816475,5.130111354778314,5.168194689920508,5.180889134967907,5.388500255940016,5.191889135490379,5.114889131833075,5.34058358699743,5.233250248566037,5.244500249100383,5.087805797213352,4.987889125800899,5.20669469174916,5.103194686833174
25,5.055944684588919,5.122944687771248,5.010805793556048,5.238722471048176,5.214222469884488,5.2075558029011715,5.178000245941803,5.209278025205195,5.092389130764382,5.223666914777519,5.135833577272327,5.268611361356711,5.225750248209806,5.248250249278499,5.157500244968105,5.014278015943192,5.269028028043167,5.125000243424438
26,5.0385835726532,5.1793891348966605,5.176944690336111,5.257639138613336,5.1497502446,5.180694690514226,5.204444691642291,5.2355558042311,5.235472470893809,5.2170280255733,5.081639130253785,4.854333563901794,5.100444686702556,5.284250250988407,5.043028017308743,5.0034724598744,5.221472470228845,5.125611354564575
27,5.042055795040343,5.07816690786664,5.126722465728461,5.242444693447194,4.999361348568022,5.018528016145056,5.144666911025221,5.219805803483015,4.98630579239236,5.2060002472717315,5.176500245870557,5.248583582627664,5.207222469552006,5.25350024952786,5.062805796025915,4.962500235706102,5.2583335830907645,5.113944687343771
28,5.0017780153494735,5.077472463389212,4.979472458734461,5.2452502491360065,5.1977502468798775,5.210250247473596,5.17725024590618,5.1750002457993105,5.021916905194908,5.193250246666139,5.167333578768496,5.085805797118357,5.115639131868698,5.09494468644132,5.037778017059382,4.9352502344117966,5.22922247059695,5.050611351002266
29,5.065666907272922,5.145444688839941,5.335889142330012,5.213889136535323,5.157111356060745,5.199194691392929,5.151000244659372,5.216000247746706,5.375972477567201,5.243778026843857,5.234111359718049,5.257250249705976,5.17480580134563,5.286916917781733,5.075611352189703,4.974555791834265,5.238611359931787,5.101000242284499
30,5.058722462498634,5.093611353044657,4.724889113309069,5.210778025276441,5.127166910194015,5.077944685633863,5.2094169141006805,5.198944691381055,5.327555808600866,5.228055803874869,5.180833579409712,5.249055804872316,5.284583584337573,5.217500247817952,5.067750240705209,5.033722461311198,5.223111359195577,5.150639133531109
31,4.951333568509047,5.106944687011289,5.069944685253883,5.199222469172026,5.1511391335548575,5.192000246606767,5.19527802454023,5.188055801974971,5.074083574339359,5.215500247722957,5.207389136226589,5.057166906869194,5.18222246836457,5.292222473589289,4.963305791299919,4.949333568414052,5.259722472045622,5.823222498810436
32,5.0385835726532,5.103528020182339,5.068500240740832,5.214055803209905,5.179166912663883,5.158666911690185,5.20308358046653,5.233250248566037,4.908666899815822,5.18152802388714,5.182333579480958,4.996916904007472,5.247666915917458,5.2205002479604445,5.047278017510608,4.973194680658505,5.247805804812944,5.101222464517276
33,5.033722461311198,5.116528020799806,4.922194678236135,5.231750248494791,5.1366391328661445,5.27758358400509,5.158500245015603,5.209305802984292,5.3550558099070455,5.13619468840059,5.148500244540628,5.2625002499553375,5.262583583292629,5.28061136192668,5.038444683757714,4.942472456977056,5.261333583233257,5.115389131856824
34,5.003166904304331,5.117278020835429,5.089611352854667,5.261472472128743,5.182833579504707,5.239583582200187,5.193166913328847,5.196972469065157,5.254416916238066,5.218528025644546,5.1807224682933235,5.28938914012138,5.133778021619137,5.189555802046217,5.03575023918529,4.929416900801394,5.251444693874671,5.095611353139652
35,5.018444682807765,5.149083577901668,5.095166908674097,5.177722468150831,5.132944688246223,5.194805802295579,5.177194690347985,5.192611357746904,5.175472468043962,5.296222473779279,5.110611353852113,5.0385835726532,5.15705580050255,5.162889134112953,4.917889122476077,4.933139123200413,5.1940280244808585,5.111333576108639
36,5.055944684588919,5.151166911333954,5.07963913015879,5.266528027924424,5.221694692461622,5.086000241572037,5.176500245870557,5.208833580739641,5.204916913886942,5.21780580338802,5.161500245158095,4.963139124625337,5.262639138850823,5.213750247639837,5.118972465360356,5.040666906085486,5.211778025323938,5.145055799932581
37,5.04413912847263,5.132222465989697,5.157000244944356,5.204389136084097,5.163000245229341,5.093333575253685,5.222000248031691,5.233250248566037,5.178444690407357,5.191833579932184,5.1600558006450425,5.113611353994606,5.10713913146497,5.196166913471339,4.950972457380784,4.972916902867533,5.19694469128606,5.8394724995822695
38,5.0199169050999135,5.088583575028072,4.803389117037619,5.241944693423445,5.135166910573995,5.16750024544308,5.19966691363758,5.207750247354852,5.393166922828337,5.179944690478603,5.158583578352894,5.190889135442881,5.153666911452698,5.184416912913244,5.134666910550246,5.012194682510906,5.2132780253951845,5.129333576963593
39,5.059416906976063,5.092278019647993,4.818889117773829,5.250500249385368,5.171666912307652,5.051139128805112,5.1630280230084376,5.204861358328748,5.1381946884955845,5.1563335782460245,5.198361358020015,5.1185002431157045,5.096278019837983,5.223666914777519,5.0237780163944175,4.960111346703747,5.223694692556617,5.134083577189206
40,5.137278021785378,5.134500243875664,4.983778014494519,5.190889135442881,5.170333578910989,5.0573891291019715,5.169000245514326,5.232500248530414,5.106389131429347,5.261000249884091,5.185833579647199,4.99772245960129,5.168889134397937,5.148444688982433,5.1543335781510295,5.1083891315243415,5.221444692449747,5.164444689742393
41,5.019833571762622,5.14175024422002,5.109389131571839,5.167472467663982,5.191694691036698,5.133444688269972,5.134389132759275,5.205611358364371,4.99830579296233,5.301500251807738,5.136555799528852,4.982444681097856,5.188111357533166,5.240000248886645,5.105750242510112,5.048305795337202,5.275472472793707,5.126444687937489
42,5.066361351750351,5.0775280189474055,5.090194686215707,5.211778025323938,5.201278024825215,5.214055803209905,5.157111356060745,5.221250247996068,5.106833575894901,5.19772246910078,5.168222467699605,5.130278021452896,5.18016691271138,5.299778029503714,5.081639130253785,5.070528018614923,5.276083583933844,5.154278022592835
43,5.0775280189474055,5.04413912847263,4.781250227097189,5.214611358791848,5.164555800858781,5.175111356915699,5.204000247176737,5.198278024682723,5.178666912640134,5.217111358910592,5.165194689778016,5.002472459826903,5.109833576037393,5.296111362662891,5.172028023435915,5.100666908935333,5.284778028791252,5.181444690549849
44,4.992305792677345,5.125000243424438,5.116028020776057,5.190250246523647,5.224111359243074,5.257389138601462,5.15550024487311,5.168250245478703,5.101361353412762,5.214944692141014,5.157944689433659,4.972833569530242,5.208028025145823,5.25575024963473,5.025055794232887,4.860833564210528,5.247666915917458,5.096361353175275
45,5.0608057959309205,5.0929169085672275,5.005361348853007,5.262805805525406,5.219166914563781,5.044194684030824,5.231000248459168,5.232500248530414,5.2073335806683945,5.231889137390277,5.232000248506665,4.925333567274113,5.134472466096566,5.178000245941803,5.028861349969197,5.018444682807765,5.283333584278201,5.084944685966345
46,5.044833572950059,5.159250245051226,4.883889120861164,5.25613913854209,5.174055801310007,5.1763335791959735,5.157111356060745,5.222000248031691,5.271944694848369,5.264166916701166,5.1286113547070675,5.062194684885778,5.2901669179361,5.213750247639837,5.176583579207848,5.028861349969197,5.298500251665246,5.103305797949562
47,5.030944683401483,5.144583577687929,5.128361354695193,5.245444693589686,5.1556669115476925,5.147889133400491,5.176500245870557,5.222000248031691,5.0344169057886266,5.300583585097532,5.154972467070264,4.994833570575186,5.090666908460358,5.179444690454854,4.968889124898447,4.970861347214345,5.26266691662992,5.134805799445732
48,5.0281669054917675,5.0943335753011825,5.084555797058985,5.230361359539933,5.204916913886942,5.325055808482122,5.231055804017362,5.2197502479248215,5.2087502474023495,5.209611358554361,5.225278025965154,5.214055803209905,5.194805802295579,5.204305802746805,5.052472462201775,5.0323335723563405,5.290833584634432,5.1060835758592775
49,5.049000239814632,5.121389132141808,5.012889126988335,5.176250245858682,5.197694691321683,5.206194691725411,5.189555802046217,5.217500247817952,5.11677802081168,5.233305804124231,5.166000245371833,5.021916905194908,5.1085280204198265,5.273000250454061,5.117194687498138,5.013583571465763,5.280972473054943,5.128472465811582
50,5.000389126394617,5.0323335723563405,4.919666900338294,5.199805802533066,5.200000246986747,5.210333580810887,5.151000244659372,5.2078613584712405,5.249750249349745,5.2625002499553375,5.185222468507062,5.033722461311198,5.2021391359772275,5.200555802568689,5.033028016833769,5.020528016240051,5.280278028577514,5.120611354327088
