,Unnamed: 0,NoseX,NoseY,NoseZ,NeckX,NeckY,NeckZ,Right_shoulderX,Right_shoulderY,Right_shoulderZ,Right_elbowX,Right_elbowY,Right_elbowZ,Right_wristX,Right_wristY,Right_wristZ,Left_shoulderX,Left_shoulderY,Left_shoulderZ,Left_elbowX,Left_elbowY,Left_elbowZ,Left_wristX,Left_wristY,Left_wristZ,Right_hipX,Right_hipY,Right_hipZ,Right_kneeX,Right_kneeY,Right_kneeZ,Right_ankleX,Right_ankleY,Right_ankleZ,Left_hipX,Left_hipY,Left_hipZ,Left_kneeX,Left_kneeY,Left_kneeZ,Left_ankleX,Left_ankleY,Left_ankleZ,Right_eyeX,Right_eyeY,Right_eyeZ,Left_eyeX,Left_eyeY,Left_eyeZ,Right_earX,Right_earY,Right_earZ,Left_earX,Left_earY,Left_earZ
count,5136.0,5135.0,5135.0,5135.0,5135.0,5135.0,5135.0,5135.0,5135.0,5135.0,5135.0,5135.0,5135.0,5135.0,5135.0,5135.0,5135.0,5135.0,5135.0,5135.0,5135.0,5135.0,5135.0,5135.0,5135.0,5135.0,5135.0,5135.0,5136.0,5136.0,5136.0,5136.0,5136.0,5136.0,5135.0,5135.0,5135.0,5136.0,5136.0,5136.0,5136.0,5136.0,5136.0,5135.0,5135.0,5135.0,5135.0,5135.0,5135.0,5135.0,5135.0,5135.0,5134.0,5134.0,5134.0
mean,2567.5,-0.00894655298111555,-0.5136379814252416,5.089305420256172,0.019842898808854943,-0.3523538697833792,5.1447642268781655,-0.1514242298647166,-0.32419305545039395,5.166888643820075,-0.21588675911087604,-0.09603418649011945,5.252586479614169,-0.23647199971882488,0.16042823674558082,5.197573737392407,0.18254378358774548,-0.3368702466729321,5.185589054612826,0.20888506055400574,-0.09384750645415456,5.182801408312685,0.25166224317576197,0.1626593995930041,5.21934486433733,-0.10969408435825011,0.19549291768522087,5.180004845204117,-0.11083426743287392,0.585508539524173,5.233846888549603,-0.11158285299432097,0.9534088616546627,5.278691730766653,0.11680149558311308,0.1915711746301716,5.0693426817510465,0.1486833046039572,0.5638905724342275,5.204292915598997,0.15064863669265324,0.9606999388759567,5.309925644197197,-0.043744163802609946,-0.5409386389733754,5.130084113461829,0.022401310500943624,-0.5372729466395578,5.0502051658036065,-0.07603116316798827,-0.5465262010359834,5.229724464397932,0.08375938597197281,-0.5378709499142632,5.099318696730881
std,1482.779821821163,0.009911934497848067,0.012259380576841188,0.03561091226730546,0.008045460050073361,0.0028992160649622453,0.04188621602652165,0.017650857320408674,0.017719263951817422,0.16781183923534637,0.013131072770117373,0.008541286179038057,0.057639832405321854,0.002319457851589555,0.006042329706377546,0.05098089002962787,0.002278737580370694,0.019014720788910384,0.0647329465063651,0.008077338902779889,0.009795895948598221,0.0358485440118027,0.011971153199692922,0.0036608630987884504,0.026913144400737016,0.0027006759121327396,0.004813049025522361,0.1275320740564046,0.0008167206005179977,0.004655202292680116,0.03856741037698652,0.0029247378970925653,0.008835376745450268,0.045201662315747376,0.0016229760572306674,0.003819102888573547,0.06740608212705823,0.0016200213440360938,0.015778697715171923,0.056704853306741174,0.005755974074043595,0.013760497207402902,0.0669944999600374,0.008995483977243493,0.008970742996326707,0.041928638044411964,0.00550903593751736,0.010943818990369529,0.04772813423807384,0.003800569913150603,0.02637604142962156,0.2539373897868953,0.00266997977119446,0.013258114827412994,0.11022393097184326
min,0.0,-0.0465930365025997,-0.5426270961761475,4.935333728790283,-0.0126695521175861,-0.3651081323623657,4.995583534240723,-0.1877272576093673,-0.4019705355167389,2.9741389751434326,-0.2526427209377289,-0.1038093864917755,5.008472442626953,-0.2470377683639526,0.1293582916259765,4.933444499969482,0.1743698567152023,-0.378758430480957,4.9533891677856445,0.1752968430519104,-0.0994245335459709,4.979722499847412,0.2423577308654785,0.1329086720943451,5.074722290039063,-0.1188475042581558,0.1786020398139953,4.732444763183594,-0.1136692762374877,0.3862906992435455,3.632389068603516,-0.1150098592042923,0.7923552989959717,4.390139102935791,0.0830669328570365,0.1783410161733627,4.725528240203857,0.1219316348433494,0.45387664437294,4.267916679382324,0.1191389113664627,0.9218584895133972,5.107666969299316,-0.0477513894438743,-0.5864852666854858,4.610722541809082,-0.0120810717344284,-0.5718567371368408,4.818250179290772,-0.0820198431611061,-0.5830016732215881,3.602472305297852,0.0653034374117851,-0.616279661655426,3.9796669483184814
25%,1283.75,-0.0121797258034348,-0.5280211567878723,5.067055702209473,0.0217157118022441,-0.3542259931564331,5.117069721221924,-0.171486347913742,-0.3280894160270691,5.06986141204834,-0.21195888519287104,-0.0986585803329944,5.214708566665649,-0.2379308640956878,0.1605006605386734,5.165944576263428,0.1810259819030761,-0.3558954000473022,5.142472267150879,0.2098584622144699,-0.09725885465741149,5.157750129699707,0.2465479671955108,0.1618483513593673,5.204000473022461,-0.11150398477911945,0.19220098108053207,5.092777967453003,-0.1112504601478576,0.5832281112670898,5.213055610656738,-0.1123951599001884,0.9481792449951172,5.251153111457825,0.1159072592854499,0.1898674070835113,5.030250072479248,0.1475899033248424,0.5509619116783142,5.166021108627319,0.1502176970243454,0.9511647373437883,5.263250350952148,-0.0464749503880739,-0.5422318875789642,5.103847503662109,0.0213707620278,-0.5374702215194702,5.027472496032715,-0.07766784727573389,-0.5582671165466309,5.236361503601074,0.08273646235466,-0.5437150597572327,5.042055606842041
50%,2567.5,-0.0121214604005217,-0.5082886815071106,5.089278221130371,0.0218231230974197,-0.3521579802036285,5.141805648803711,-0.1420476734638214,-0.3205402791500091,5.169750213623047,-0.2098077535629272,-0.0979897528886795,5.244500160217285,-0.2365090996026992,0.1616064608097076,5.198389053344727,0.1822971701622009,-0.3244677484035492,5.17858362197876,0.2109513878822326,-0.0968125239014625,5.182333469390869,0.2471847236156463,0.162249207496643,5.216750144958496,-0.1095845773816108,0.1952977627515792,5.17483377456665,-0.110838696360588,0.585579127073288,5.234055995941162,-0.1118169203400611,0.9533055126667023,5.280250072479248,0.1169153600931167,0.1914923191070556,5.074000358581543,0.148607887327671,0.557333767414093,5.201653003692627,0.1515890210866928,0.9600411057472228,5.30922269821167,-0.0462396517395973,-0.5390278100967407,5.129305839538574,0.0215013660490512,-0.5330278873443604,5.058028221130371,-0.0766936242580413,-0.5528476238250732,5.273333549499512,0.083585649728775,-0.5364171862602234,5.093736410140991
75%,3851.25,-0.0120545867830514,-0.5052768588066101,5.112000465393066,0.0219640545547008,-0.3504628837108612,5.172000408172607,-0.13670543581247324,-0.3140641003847122,5.264583587646484,-0.208522081375122,-0.09737776964902875,5.2791807651519775,-0.2350329756736755,0.1626025438308715,5.229639053344727,0.1838240772485733,-0.3191435039043426,5.221958637237549,0.2119113504886627,-0.0963082984089851,5.204139232635498,0.248178020119667,0.162803828716278,5.234000205993652,-0.10784693062305445,0.19871845841407776,5.265472412109375,-0.1103939786553382,0.5877561569213867,5.253500461578369,-0.11120075359940522,0.9583566188812256,5.307555675506592,0.1177909597754478,0.19295945018529892,5.112000465393066,0.1496820151805877,0.5798748731613159,5.239250183105469,0.1529444754123687,0.9689300060272216,5.355291962623596,-0.04598907008767125,-0.5362859964370728,5.154666900634766,0.021607594564557,-0.5304639935493469,5.081639289855957,-0.0761559158563613,-0.5464875400066376,5.340319633483887,0.0846162438392639,-0.5305544137954712,5.156500339508057
max,5135.0,0.022342586889863,-0.4758430421352386,5.258083820343018,0.0226519517600536,-0.3220246732234955,5.330889225006104,-0.0794206857681274,-0.2036962956190109,5.86911153793335,-0.2027254253625869,-0.0618952400982379,5.553000450134277,-0.2244550138711929,0.1688701659440994,5.429805755615234,0.1946746408939361,-0.3080414831638336,5.5301947593688965,0.248604267835617,-0.0600304044783115,5.396611213684082,0.2902845740318298,0.199828639626503,5.376139163970947,-0.1002163514494896,0.2118058204650879,5.612250328063965,-0.0769210830330848,0.6005351543426514,5.367722511291504,-0.0746623575687408,0.9975402355194092,5.431027889251709,0.1230567023158073,0.22893887758255,5.3405280113220215,0.1554601639509201,0.608789324760437,5.441500186920166,0.1596043109893798,1.011605739593506,5.5865559577941895,0.0215043164789676,-0.4841507971286773,5.296083450317383,0.0845811441540718,-0.517484188079834,5.177833557128906,-0.0459851846098899,-0.3782790601253509,5.639555931091309,0.1352344304323196,-0.4178865551948547,5.869028091430664
